Organization Name,Organization Name URL,Operating Status,Headquarters Location,Number of Employees,Description,Full Description,Industries,Founded Date,Founded Date Precision,Industry Groups,Top 5 Investors,IPO Status,SEMrush - Monthly Visits,SEMrush - Average Visits (6 months),Apptopia - Downloads Last 30 Days,Last Equity Funding Type,Last Equity Funding Amount,Last Equity Funding Amount Currency,Last Equity Funding Amount Currency (in USD),Last Funding Type,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount Currency (in USD),Total Equity Funding Amount,Total Equity Funding Amount Currency,Total Equity Funding Amount Currency (in USD),Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD),Number of Funding Rounds,Number of Lead Investors,Number of Investors,Closed Date,Closed Date Precision,Estimated Revenue Range
URBANHUB,https://www.crunchbase.com/organization/urbanhub-cd45,Active,"Paris, Ile-de-France, France",11-50,Logistics Saas,Urban Logistics operator,"Logistics, Software",2015-12-28,day,"Software, Transportation",Ademe,Private,"9,755","24,291.33",,Seed,1100000,EUR,1257073,Grant,570000,EUR,678670,2800000,EUR,3163718,3370000,EUR,3842389,3,,1,,,
Enviopack,https://www.crunchbase.com/organization/enviopack,Active,"Buenos Aires, Distrito Federal, Argentina",101-250,We are a software based fulfillment solution for e-commerce that solves end-to-end logistics.,,"E-Commerce, Internet, Logistics, Software, Transportation",2017-01-01,month,"Commerce and Shopping, Internet Services, Software, Transportation",,Private,"35,995","41,559",,Pre-Seed,40000,USD,40000,Pre-Seed,40000,USD,40000,40000,USD,40000,40000,USD,40000,1,,,,,
FSI,https://www.crunchbase.com/organization/fsi,Active,"Nashville, Tennessee, United States",11-50,"FSI ioffers of production and distribution services for business communications, inventory management, document process.","FSi Simplifies Your Supply Chain Management  FSi brings you the most effective supply chain program available. In one package, you'll gain advanced management software, experienced people, a low-cost print and supply network, and a large distribution center — with security and quality controls that meet the highest industry standards. FSi brings you end-to-end simplicity:  - Quick easy online ordering and tracking - Fast accurate distribution - Access to nationwide network of low-cost suppliers - All types of supplies, from stationery to fixtures - Turn-key printing, creative and production services - Worry-free inventory management to reduce expense - No ""cost of carry"" on your balance sheet - Sales and Use Tax Compliance in every state, county and city - Valuable management reports so you have more control - Simplified invoice methods - Totally customized service - Bottomline savings in time, money and hassle!","Enterprise Software, Logistics, Software, Supply Chain Management",1990-01-01,year,"Software, Transportation",Council & Enhanced Tennessee Fund,Private,,,,Seed,517000,USD,517000,Seed,517000,USD,517000,517000,USD,517000,517000,USD,517000,1,,1,,,$10M to $50M
1 Mainstream,https://www.crunchbase.com/organization/1-mainstream,Active,"Cupertino, California, United States",11-50,1 Mainstream is the leading OTT streaming platform for content owners and distributors.,"1 Mainstream (Cupertino, CA) is a digital TV distribution platform for deploying HD video services in weeks across the most popular TV, game console, tablet and streaming devices. Leading broadcasters and operators, such as BSkyB, use 1 Mainstream to automate native app creation, content delivery, protection, and monetization. For more information, visit www.1mainstream.com.","Apps, Broadcasting, Digital Entertainment, Logistics, Software",2012-03-01,day,"Apps, Media and Entertainment, Software, Transportation, Video","DCM Ventures, Sky UK, The Perkins Fund",Private,,,,Venture - Series Unknown,5000000,USD,5000000,Venture - Series Unknown,5000000,USD,5000000,5000000,USD,5000000,5000000,USD,5000000,2,1,3,,,
BOXARR,https://www.crunchbase.com/organization/boxarr,Active,"Bristol, Bristol, City of, United Kingdom",11-50,BOXARR is a software company headquartered in the UK. The BOXARR platform is the leading solution for Inter-dependent Systems Management.,"BOXARR is a software company headquartered in the UK, operating internationally through a global network of Alliance Partners. The BOXARR platform enables organisations to effectively manage their complexity, mitigate risks, and identify opportunities to prosper. The BOXARR platform is the leading solution for Inter-dependent Systems Management.","Cyber Security, Enterprise Software, Logistics, Software, Supply Chain Management",2002-01-01,year,"Information Technology, Privacy and Security, Software, Transportation","IP Group, Parkwalk Advisors, Pitch@Palace",Private,166,,,Seed,2000000,GBP,3085686,Non-equity Assistance,,,,2000000,GBP,3085686,3085686,USD,3085686,2,,3,,,$1M to $10M
FORWARD,https://www.crunchbase.com/organization/forward-554f,Active,"Hamburg, Hamburg, Germany",1-10,FORWARD - the B2B network for regional transport logistics.,"With our innovative transporting network and intelligent algorithms, we make short-hauling simple for shippers and carriers of all kinds. Shippers benefit from guaranteed transport capacity, a built-in tracking & tracing solution as well as automatically generated proofs of deliveries. Carriers manage and grow their business through the FORWARD app. Renew your thinking on short-haul trucking and improve daily processes with us.","Logistics, Software",2018-01-01,year,"Software, Transportation",,Private,,,,Seed,800000,EUR,916920,Seed,800000,EUR,916920,850000,EUR,976974,850000,EUR,976974,2,,,,,
LogesTechs,https://www.crunchbase.com/organization/logestechs,Active,"Ramallah, West Bank, Palestinian Territory",11-50,Delivery Management Software for Express Delivery Companies,"LogesTechs is a delivery management software that streamlines delivery operations by digitizing and connecting the disparate parts and processes involved in delivery. LogesTechs delivery management software caters to the needs of express delivery providers that work in parcel delivery, document delivery or food delivery.","Delivery, Fleet Management, Logistics, Software, Supply Chain Management",2019-01-01,day,"Administrative Services, Software, Transportation",Ibtikar Fund,Private,"1,245",,,Pre-Seed,250000,USD,250000,Pre-Seed,250000,USD,250000,250000,USD,250000,250000,USD,250000,1,,1,,,
GRIDSMART Technologies,https://www.crunchbase.com/organization/aldis,Active,"Knoxville, Tennessee, United States",11-50,GRIDSMART uses a single camera to actuate intersections and gather data on arterials and highways.,"Aldis, Inc., a CleanTech company, develops, commercializes, and sells traffic and energy management technology and services to municipal partners. The company offers GridSmart, a vision-based traffic monitoring and control system. Its GridSmart line of products include Spectra 360, a single-camera solution that sees in various directions; GridSmart Optima 360, which provides stop-bar detection, as well as vehicle counting, speed, and classification; GridSmart Ultra 360, which tracks vehicle speed, turn and pedestrian counts, emergency vehicle preemption modes, machine-enabled red light mitigation, and real-time video feeds; GridSmart XPress, a freeway monitoring system to view and track vehicles and provides traffic control center with vehicle counts and average speeds; and GridSmart Centrex, a smart parking system. The company also provides SmartWay, a line of products that provide energy efficient LED traffic signals. In addition, its solutions include vehicle/turn counts, red light runner (RLR) mitigation, auto alerts, pedestrian tracking, and software upgrades. The company serves transportation logistics and advanced infrastructure management markets.  Aldis, Inc. was founded in 2006 and is based in Oak Ridge, Tennessee.","Information Technology, Infrastructure, Logistics, Software",2006-01-01,year,"Information Technology, Other, Software, Transportation","Launch Tennessee, Battelle Ventures, Innovation Valley Partners, Murphree Venture Partners, Meritus Ventures",Private,"1,302","2,875.67",,Series A,,,,Series A,,,,11043722,USD,11043722,11043722,USD,11043722,4,,5,,,$1M to $10M
THOK LOGISTICS,https://www.crunchbase.com/organization/thok,Active,"Xiamen, Fujian, China",,"THOK LOGISTICS is an intelligent supply chain logistics solution provider integrating consulting, and software development services.",,"Consulting, Information Technology, Logistics, Software",2005-08-02,day,"Information Technology, Professional Services, Software, Transportation","Yingke Capital, Tianjin Venture Capital, QS Capital, China Fortune Securities, Zhuojia Huizhi Chuangtou",Private,,,,Venture - Series Unknown,50000000,CNY,7112072,Venture - Series Unknown,50000000,CNY,7112072,113000000,CNY,16427029,113000000,CNY,16427029,5,2,8,,,
enVista,https://www.crunchbase.com/organization/envista,Active,"Carmel, Indiana, United States",251-500,"enVista provides businesses with supply chain management, transportation, retail services, and information technology solutions.","enVista is the leading enterprise cost management services provider, offering expert consulting and technology services from source to consumption. enVista enables leading companies to reduce operating costs, improve customer service and enhance profitability through innovative solutions and deep domain expertise across a multitude of industries and vertical markets.","E-Commerce Platforms, Enterprise Software, Logistics, Software, Supply Chain Management",2002-01-01,year,"Commerce and Shopping, Internet Services, Software, Transportation","PJC, Borealis Ventures, Egan-Managed Capital",Private,"1,829","11,729.5",,Series B,4100000,USD,4100000,Series B,4100000,USD,4100000,13600000,USD,13600000,16100000,USD,16100000,5,2,3,,,$100M to $500M
Qredible,https://www.crunchbase.com/organization/qredible,Active,"Miami Lakes, Florida, United States",1-10,Qredible is a cloud-based platform that connects the entire hemp supply chain by enabling efficient and profitable commerce.,"Qredible is a cloud-based platform that connects the entire hemp supply chain by enabling efficient and profitable commerce while providing a transparent information repository for counter-parties and customers to speed due diligence and monitor changes in the company and their products. It was founded in Miami Lakes, Florida in 2019.","Cannabis, Logistics, Software, Supply Chain Management",2019-01-01,year,"Community and Lifestyle, Food and Beverage, Health Care, Software, Transportation",,Private,,,,Seed,400120,USD,400120,Seed,400120,USD,400120,400120,USD,400120,400120,USD,400120,1,,,,,
"Avion Solutions, Inc.",https://www.crunchbase.com/organization/avion-solutions-inc,Active,"Huntsville, Alabama, United States",101-250,"Avion Solutions, Inc. is an aviation & aerospace firm providing engineering, logistics, software development, and technical services.",,"Consulting, Information Technology, Logistics, Software, Transportation",1992-01-01,day,"Information Technology, Professional Services, Software, Transportation",,Private,"1,514","47,476.33",,,,,,Grant,15000,USD,15000,,,,15000,USD,15000,1,,,,,$10M to $50M
Synple,https://www.crunchbase.com/organization/synple,Active,"Breda, Noord-Brabant, The Netherlands",11-50,Synple is a high-tech company that specializes in creating user-friendly and intuitive web software.,"Synple is a high-tech company that specializes in creating user-friendly and intuitive web software. The software seamlessly integrates into your companies daily operations. It helps your company leverage your and your partners’ networks in order to consolidate your market position. Their software allocates, proposes and handles collaborative opportunities that benefit both you and your partner. Synple already has a strong presence and clear traction in the Dutch transportation market sporting a wide customer base in the Fast Moving Consumer Goods (FMCG) and Heavy Road Cargo (HRC) industries. The company solutions allow companies to get “pure profit per mile,” and in doing so drive less empty miles, waste less gas, lower operation costs, emit fewer greenhouse gasses, and limit particle pollution.","Logistics, Software, Supply Chain Management, Transportation",2015-01-01,year,"Software, Transportation","EASME - EU Executive Agency for SMEs, Newion, Mainport Innovation Fund",Private,,,,Venture - Series Unknown,1100000,EUR,1304809,Grant,71429,EUR,83304,1100000,EUR,1304809,1171429,EUR,1388113,2,2,3,,,Less than $1M
Voltia,https://www.crunchbase.com/organization/greenway-operator,Active,"Bratislava, Bratislava, Slovakia (Slovak Republic)",11-50,"Switch your LCV fleet to electric NOW, via our expert analysis, planning & our custom e-LCVs build on most proven and trusted OEM platforms.","1. Voltia Automotive We create new e-LCV models using the existing platforms, create agile production processes that help existing OEM deliver more electric models - all with the focus to beat the best diesel with better performance and lower Total Cost of Ownership. We are creating Voltia electric vans, the best Total Cost of Ownership performance across all urban delivery vehicles, not just between electric vehicles. We have developed new electricmodels to address gaps in the market & provide our clients exactly what they need (including a city delivery e-van based on the global bestseller platform Nissan eNV200 with increased cargo space from 4 to 6, 8 or 10m3). Customers are postal and parcel delivery companies in 17+ European countries. 2.Voltia Electric Lease Product For the first time in the history of electric vans, a leasing package with a monthly cost under lower than the monthly cost for diesel vans. Developing 100% digital leasing product to bring a more compelling zero-emission offer to the market and to thereby increase the share of electric cars. Combining the strength of established leasing players with Voltia know-how how to switch to EVs. 3. Switch to Electric Services Our eFleet Advising for large deployments and EVXpert automated platform for SMEs and individual owners – We conduct an in-depth analysis of the relevant portions of a companies operations, routes, and vehicular fleets. We provide a scalable roadmap for how to switch each vehicle in your fleet to electric in a way that minimizes disruption and takes full advantage of the benefits going electric can bring. No matter the size of your fleet, we can assist you.","Clean Energy, Electric Vehicle, Logistics, Software, Transportation",2011-11-01,month,"Energy, Software, Sustainability, Transportation","Neulogy Ventures, Janom, Peter Badik, Juraj Ulehla",Private,"1,680",,,Series A,3250000,EUR,3580817,Series A,3250000,EUR,3580817,9573002,USD,9573002,9573002,USD,9573002,3,1,4,,,$1M to $10M
One Key Access,https://www.crunchbase.com/organization/one-key-access,Active,"Docklands, Victoria, Australia",1-10,One Key Access is an interface to the world of couriers to enable 24/7 frictionless deliveries.,One Key Access is an interface to the world of couriers to enable 24/7 frictionless deliveries.,"Internet of Things, Logistics, Software, Supply Chain Management",2020-02-01,day,"Internet Services, Software, Transportation",Antler,Private,,,,Pre-Seed,190000,USD,190000,Pre-Seed,190000,USD,190000,190000,USD,190000,190000,USD,190000,2,1,1,,,
Airbag Technologies,https://www.crunchbase.com/organization/airbag-technologies,Active,"Mexico City, Distrito Federal, Mexico",1-10,SaaS and Mobile telematics app focused on reducing transit accidents caused by the driver’s behavior,"Airbag is a SaaS and a Mobile Telematics solution looking to reduce transit accidents caused by texting and driving, fatigue and drivers’ behavior. We develop high end technology for transportation companies to reduce the risk before it happens and give instant feedback to their drivers to reward them for good performance. With all the data we create personalized risk profiles for transportation and insurance companies to reduce risk in the operations and increase profit.","Big Data, Information Technology, Insurance, InsurTech, Logistics, Software, Transportation",2020-09-02,day,"Data and Analytics, Financial Services, Information Technology, Software, Transportation",,Private,,,,Pre-Seed,150000,USD,150000,Pre-Seed,150000,USD,150000,150000,USD,150000,150000,USD,150000,1,,,,,
Otimiza,https://www.crunchbase.com/organization/otimiza,Active,"Rio De Janeiro, Rio de Janeiro, Brazil",11-50,Otimiza VT is the purchase and management system of transport voucher that has several functionalities for employers.,"Otimiza VT is the purchase and management system of transport voucher that has several functionalities for employers to make the purchase and control the use of this benefit, generating recurring savings through balances and extracts queries, scheduling, audits and non-compliance reports. It features a system that treduces up to 37% of the monthly cost.","Logistics, Software, Transportation",2021-01-01,year,"Software, Transportation",,Private,"14,693","15,090.83",,Equity Crowdfunding,1200000,BRL,219812,Equity Crowdfunding,1200000,BRL,219812,1200000,BRL,219812,1200000,BRL,219812,1,,,,,
caresocius,https://www.crunchbase.com/organization/caresocius,Active,"Basel, Basel-Stadt, Switzerland",1-10,"Caresocius is a community-based online platform for seconde opinion, booking health services and manage travel logistics around the world.","Caresocius AG is a software company focused on building a secure ICT-Ecosystem in the field of health tourism. This opens the doorway to be on the forefront of an industry that has not yet caught up with the global nature of the digital age. The lack of clarity regarding the outcomes has limited public access to global opportunities for medical services. Although this caution has been valuable, it has restricted opportunity for access to medical services outside geographical boundaries. Using new technologies, we will turn a culture of caution into an opportunity for clarity and selection. We will use the developments in artificial intelligence (AI) and location specific user interface (U.I.) to bring clarity to the availability, affordability and selection of medical services beyond local borders to those in need.","Electronic Health Record (EHR), Health Care, Logistics, Software",2019-10-01,day,"Health Care, Software, Transportation",,Private,338,,,Seed,500000,USD,500000,Seed,500000,USD,500000,500000,USD,500000,500000,USD,500000,1,,,,,
Terminal,https://www.crunchbase.com/organization/terminal-333d,Active,"Delaware City, Delaware, United States",1-10,Terminal is the easiest way to start your online business in Africa.,"Terminal is a web design platform that makes it easy to create a tailored eCommerce website, on any device, without writing code.","E-Commerce, Logistics, Software, Web Design",2021-01-01,year,"Commerce and Shopping, Design, Software, Transportation",The Baobab Network,Private,,,,Pre-Seed,25000,USD,25000,Pre-Seed,25000,USD,25000,25000,USD,25000,25000,USD,25000,1,,1,,,
ClickLog,https://www.crunchbase.com/organization/clicklog,Active,"Tallinn, Harjumaa, Estonia",11-50,"Automated 3D dimensioning, Optimization of cargo loading/unloading process, ML and Computer vision driven accurate SKU/EAN code master data",,"Delivery Service, Information Technology, Logistics, Software, Supply Chain Management, Transportation, Warehousing",2019-03-01,month,"Information Technology, Software, Transportation",Startup Wise Guys,Private,,,,Pre-Seed,55000,EUR,59390,Pre-Seed,55000,EUR,59390,55000,EUR,59390,55000,EUR,59390,1,,1,,,
HD Trade Services,https://www.crunchbase.com/organization/hd-trade-services,Closed,"Garden City, New York, United States",11-50,HD Trade Services provides mobile and cloud-based logistics software.,Mobile and cloud based logistics software.,"Logistics, Software",2011-11-01,day,"Software, Transportation","Y Combinator, FundersClub",Private,,,,Venture - Series Unknown,6290000,USD,6290000,Venture - Series Unknown,6290000,USD,6290000,6290000,USD,6290000,6290000,USD,6290000,3,,2,2020-01-01,year,Less than $1M
Waybiller,https://www.crunchbase.com/organization/waybiller,Active,"Tallinn, Harjumaa, Estonia",1-10,Waybiller is a SAAS logistics startup.,"Waybiller is a developed software tool that allows companies to transform from paper waybills to e-waybills (waybills are documents prepared by the carrier of a shipment of goods that contain details of the shipment, route, and charges).","Logistics, Software, Transportation",2017-01-01,year,"Software, Transportation","Thorgate Ventures, Vestman Energia, Espen Getz Harstad, Nicklas Haslestad",Private,,,,Seed,500000,EUR,597800,Seed,500000,EUR,597800,625000,EUR,732349,625000,EUR,732349,2,1,4,,,
Safety Logistics Kft.,https://www.crunchbase.com/organization/safety-logistics-kft,Active,"Gyor, Gyor, Hungary",11-50,AX SYSTEM is an AI powered device that speed up internal material handling with intelligent traffic coordination,,"Artificial Intelligence, Logistics, Software",2019-10-01,month,"Artificial Intelligence, Data and Analytics, Science and Engineering, Software, Transportation",Hiventures,Private,4,,,Seed,715000,EUR,826112,Seed,715000,EUR,826112,907857,EUR,1051153,907857,EUR,1051153,3,,1,,,
In Forma Software,https://www.crunchbase.com/organization/in-forma-software,Active,"Recife, Bahia, Brazil",101-250,In Forma Software develops software solutions for energy sector.,"In Forma specializes in information technology for innovation in physical asset management. Having as leading market clients such as Chesf, Celpe and Modular Mining Systems, Inc. (Arizona, USA), In Forma was founded in 1993 and today is installed in Porto Digital. In Forma stands out in the market for joining the ability of software engineering to the knowledge of physical assets management and leads the market of integrated management systems of operation and maintenance in distributed installations.","Computer, Electrical Distribution, Electronics, Energy, Logistics, Software",1993-01-01,day,"Consumer Electronics, Energy, Hardware, Software, Transportation","Crescera Investimentos (f/k/a Bozano Investimentos), Criatec 2",Private,434,,,Seed,3500000,BRL,1058137,Seed,3500000,BRL,1058137,6000000,BRL,1827010,6000000,BRL,1827010,2,1,2,,,$1M to $10M
Solva Technologies,https://www.crunchbase.com/organization/solva-technologies,Active,"Abu Dhabi, Abu Dhabi, United Arab Emirates",1-10,A tech start-up offering an environmentally-friendly solution .,"In Solva they  aspire to change the sustainability scheme on a global scale. Through their offerings, they tackle the most pressing issues in the logistics sector using cutting-edge solutions. Their solution offerings include delivery fully-electric motor bikes with the highest standards optimized for functionality and sustainability. Combined with their  data offering, their value added to their customers expands beyond financial savings, into full automation and truly sustainable solutions through logistic optimization, adding to their core values and helping their business transform into a green offering. They  are a team of trained scientists, engineers and strategists ensuring the mission and vision of Solva expanding beyond the classic business cycle into a community based movement for change. Through their customers and community supporters their movement will extend beyond logistics to achieve a higher community role as a leader in the green movement and scalable sustainability.","Automotive, Communities, Information Technology, Logistics, Software",2017-01-01,year,"Community and Lifestyle, Information Technology, Software, Transportation",Sheraa Sharjah,Private,,,,,,,,Grant,50000,USD,50000,,,,63615,USD,63615,2,1,1,,,
56top.cn,https://www.crunchbase.com/organization/56top-cn,Active,"Hangzhou, Zhejiang, China",51-100,"56top.cn provides logistics management system, network freight platform and logistics tax solutions.",,"Freight Service, Logistics, Software",2013-03-13,day,"Software, Transportation","QF Capital, Phegda Venture Investment, Shanghai Tianyue Investment Management, Xinbo Capital",Public,,,,Undisclosed,50000000,CNY,7676969,Undisclosed,50000000,CNY,7676969,68000000,CNY,10479649,68000000,CNY,10479649,3,,4,,,
KITOHA,https://www.crunchbase.com/organization/kitoha,Active,"Tokyo, Tokyo, Japan",11-50,KITOHA is a Contract development and Web site creation company.,,"Logistics, Software, Task Management",2013-07-11,day,"Software, Transportation","DAN Venture Capital, Multus Investment",Private,,,,Venture - Series Unknown,266000000,JPY,2409529,Venture - Series Unknown,266000000,JPY,2409529,2409529,USD,2409529,2409529,USD,2409529,2,2,2,,,
Isometric Technologies,https://www.crunchbase.com/organization/isometric-technologies,Active,"San Francisco, California, United States",11-50,Isometric Technologies is a performance management solution for the supply chain industry.,Isometric Technologies is a performance management solution for the supply chain industry.,"Logistics, Software, Supply Chain Management",2020-01-01,year,"Software, Transportation","Alumni Ventures, Kindred Ventures, Adit Ventures, Wildcat Venture Partners",Private,"3,212",,,Seed,,,,Seed,,,,,,,,,,2,,4,,,Less than $1M
Webshippy Magyarország Kft,https://www.crunchbase.com/organization/webshippy-magyarország-kft,Active,"Budapest, Budapest, Hungary",11-50,Webshippy is an order fulfillment company that helps e-commerce companies and online store owners to build scalable businesses.,"Webshippy is an order fulfillment company that helps e-commerce companies and online store owners to build scalable businesses. It provides outsourced logistics and dropshipping services, as well as logistics software solutions for web stores and large companies that also sell online. The company was founded in 2016 and is headquartered in Budapest.","E-Commerce, Warehousing",2016-05-01,day,"Commerce and Shopping, Transportation","Hiventures, Trans-Sped",Private,"75,598","94,679.33",,Seed,484000,EUR,578665,Secondary Market,,,,484000,EUR,578666,578666,USD,578666,2,1,2,,,
Aerotronic,https://www.crunchbase.com/organization/aerotronic,Active,"Indianapolis, Indiana, United States",1-10,Aerotronic collect data on power line health to provide higher quality insights at a big cost reduction vs today's paper-based solutions.,"Aerotronic is a data analytics company that uses aerial and ground data to report on the health of power lines at a significant cost reduction versus existing solutions. Powerline inspections today are qualitative, done manually, and stored as hard copies. Engineers fly in a manned helicopter and take notes on the condition of the lines. Each inspection costs $2K+ per mile and takes time to collate and track. High-speed data capture using manned, unmanned, and ground-based vehicles. The data is processed using a proprietary analytics platform and accessed by clients through a web portal. Late stage discussions with 2 utility companies on pilot studies. Flew power lines in North Carolina after Hurricane Florence, and sent findings to FEMA, Duke Energy, & NCDOT. Aerotronic charges for transmission line inspections at $1000/mile (50% market rates with 80% margin). Subscription model to their portal allows for 3D time-series data access and preventative maintenance predictions using machine learning. Marketplace for vegetation management bids and other services allow us to capture commissions which create an additional revenue stream. Chris, the CEO, is a helicopter pilot, aerospace engineer, and on his second drone company after a successful exit. Neerav, the COO, has an MBA, and ran a manufacturing firm with 50 employees specializing in electro-mechanical assemblies for the DoD and its prime contractors. They have developed a hybrid single rotor autonomous unmanned system capable of flying 500 miles; they can cover entire the US with 14 base stations and 28 aircraft can Inspect the entire transmission grid in 5 days.","Artificial Intelligence, Computer, Drones, Logistics, Software",2015-02-17,day,"Artificial Intelligence, Consumer Electronics, Consumer Goods, Data and Analytics, Hardware, Science and Engineering, Software, Transportation","Techstars, Techstars Mobility Accelerator, PlanetM",Private,,,,Pre-Seed,120000,USD,120000,Grant,50000,USD,50000,120000,USD,120000,170000,USD,170000,2,1,3,,,$1M to $10M
Oolong,https://www.crunchbase.com/organization/oolong,Active,"San Francisco, California, United States",11-50,Oolong’s empowers Companies to maximize value when purchasing & disposing of manufacturing assets by leveraging technology.,"Oolong’s mission is to empower Companies to maximize value when purchasing or disposing of manufacturing assets. By leveraging technology and data, our Team has developed a proprietary platform to optimize buying and selling decisions for our Clients and Customers.  Oolong's investment fund is Founder/Angel fueled, and our team has a combined 30+ years of experience in the assets trading industry. We currently hold inventory world-wide, and have offices in San Francisco, Taipei, and Hong Kong.","Hedge Funds, Logistics, Software, Trading Platform",2013-01-01,year,"Financial Services, Lending and Investments, Software, Transportation",,Private,,,,Seed,1100000,USD,1100000,Seed,1100000,USD,1100000,1100000,USD,1100000,1100000,USD,1100000,1,,,,,$1M to $10M
Supply Vision,https://www.crunchbase.com/organization/supply-vision,Active,"Chicago, Illinois, United States",11-50,Supply Vision is a transportation technology company offering a suite of logistics technologies to help companies manage their business.,"Supply Vision is a leading transportation technology company with deep roots in all aspects of the supply chain. The experts at Supply Vision have created a suite of logistics technologies to help you manage your business most efficiently. The combination of cloud-based TMS, WMS and Customer Portal products – enhanced by a robust reporting engine and specialized customer service make Supply Vision the right partner for cutting-edge logistic companies.","Enterprise Software, Information Technology, Logistics, Software, Transportation",2010-01-01,year,"Information Technology, Software, Transportation",Hyde Park Angels,Private,"1,159","8,927.5",,Series A,1400000,USD,1400000,Series A,1400000,USD,1400000,2125000,USD,2125000,2125000,USD,2125000,2,1,1,,,$1M to $10M
Suray,https://www.crunchbase.com/organization/suray,Active,"Shanghai, Shanghai, China",,Suray focuses on providing intelligent storage and transportation solutions.,,"Information Technology, Logistics, Software, Supply Chain Management",2007-07-31,day,"Information Technology, Software, Transportation","Informrack, Kuka Group",Private,,,,Series A,10000000,CNY,1581965,Series A,10000000,CNY,1581965,13000000,CNY,2050164,13000000,CNY,2050164,2,2,2,,,
TechBloom,https://www.crunchbase.com/organization/techbloom,Active,"Beijing, Beijing, China",101-250,Techbloom (华清科盛) is a provider of logistics software and service that aims to help enterprises reduce cost.,,"Information Services, Information Technology, Logistics, Software",2011-01-01,year,"Information Technology, Software, Transportation","Transfar Chemicals, Hengying Capital, Qijiu Capital",Private,,,,Series A,2879355,USD,2879355,Series A,2879355,USD,2879355,2879355,USD,2879355,2879355,USD,2879355,1,1,3,,,
Jixingtong,https://www.crunchbase.com/organization/jixingtong,Active,"Shanghai, Shanghai, China",11-50,Jixingtong is a software platform developed specifically for truck companies.,"Jixingtong is a software platform developed specifically for truck companies. Users can use the system to complete tasks such as publishing demand information, finding container sources, and idle capacity. At the same time, the company uses the self-operated model to integrate the fleet of transportation vehicles to provide logistics services for domestic trade owners.","Logistics, Software",2016-01-01,year,"Software, Transportation",Diedai Capital,Private,,,,Seed,10000000,CNY,1449216,Seed,10000000,CNY,1449216,10000000,CNY,1449217,10000000,CNY,1449217,1,1,1,,,
SupplyNow LLC,https://www.crunchbase.com/organization/pastrynow-limited,Active,"Cleveland, Ohio, United States",1-10,Our platform lets chefs and owners auction their orders to foodservice suppliers and distributors through an all in one procurement solution,SupplyNow is a one stop shop procurement solution for restaurant chefs and managers. We bid out their ingredient procurement needs through a novel combinatorial reverse auction process that saves time and money. We offer a hybrid Marketplace/SaaS pricing model based on the preference of our customers.,"Food and Beverage, Logistics, Software, Supply Chain Management",2018-03-09,day,"Food and Beverage, Software, Transportation",,Private,,,,Seed,,,,Seed,,,,40000,USD,40000,40000,USD,40000,2,,,,,
Sabroso Inc.,https://www.crunchbase.com/organization/sabroso,Active,"Guayaquil, Guayas, Ecuador",11-50,We make recurrent employee meal easier for companies that offer food benefits,,"Food and Beverage, Food Delivery, Logistics, Software",2020-01-01,year,"Food and Beverage, Software, Transportation",,Private,,,,Pre-Seed,100000,USD,100000,Pre-Seed,100000,USD,100000,100000,USD,100000,100000,USD,100000,1,,,,,
LM2S,https://www.crunchbase.com/organization/lm2s,Active,"Villeneuve-la-garenne, Ile-de-France, France",11-50,LM2S develops software solutions for logistics industry. ,LM2S develops software solutions for logistics industry. ,"Logistics, Software",2006-01-01,year,"Software, Transportation",Isatis Capital,Private,777,,,Undisclosed,3850000,EUR,4242657,Undisclosed,3850000,EUR,4242657,3850000,EUR,4242658,3850000,EUR,4242658,1,1,1,,,$1M to $10M
ForkNAV,https://www.crunchbase.com/organization/forknav,Active,"Riga, Riga, Latvia",1-10,ForkNAV provides automation solutions for forklift operations which improves warehousing and production floor logistics.,,"Industrial Automation, Logistics, Software, Warehousing",2020-01-01,year,"Manufacturing, Science and Engineering, Software, Transportation",Buildit Accelerator,Private,,,,Seed,50000,EUR,58892,Seed,50000,EUR,58892,100000,EUR,113735,100000,EUR,113735,2,1,1,,,Less than $1M
VeeRoute,https://www.crunchbase.com/organization/veeroute,Active,"Saint Petersburg, Saint Petersburg City, Russian Federation",101-250,SaaS-opmizer that calculates route of delivery and helps finding the best timetable of orders delivery,VeeRoute is a fast growing company developing logistics optimization software and analytics solutions. We get hundreds of new customers on board year after year and shows stable annual growth.,"Automotive, Logistics, Software",2013-01-01,year,"Software, Transportation","JOINT JOURNEY, Internet Initiatives Development Fund (IIDF), SmartHub, Bogdan Iarovoi, Igor Kaloshin",Private,"409,389","694,945",,Seed,150000,USD,150000,Seed,150000,USD,150000,150000,USD,150000,150000,USD,150000,3,1,5,,,$1M to $10M
